# ----------------------------------------
# Pages and screens: Page path and screen class
# 계정: creatrip
# 속성: Creatrip GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260327
# 종료일: 20260423
페이지 경로 + 쿼리 문자열,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익,참여율,이탈률,세션당 평균 참여 시간
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnaV5Bw_-w7oTpfiHYI7GQfPA1q3JlpcIGx0-YmFjuchl_0kHwg_zNrAB65ek_aem_lnRG0fMofoL1wTEPheZkTA,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnauVSA4AVLONk08-MyJUHD6o69nkbv-4_vlCkaipZjDjE_BAKTfwcvTQvoyY_aem_rDj4bHKMC-JyzzbkMhLKxA,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnbrD5pZ7mHOu5P4p-0gcEodZIkY0PY3rFk8RCpH4BPuHU_Hr8DMQreOManSo_aem_6RUO8xStU-655n2RnO9fdw,1,1,1,0,1,0,0,1,0,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGncGGONFAgZRYRCR7vl8jm5S_zEeef3K69ulMS2YubdA9Vh9FgkNKc3IHn7z4_aem_VYudYPaWdiT3raKfZa-xlA,1,0,0,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGngu88wPqBVlasDbT24TSypuFbzPm4lJaT--h6v4KR2_dMTBaxzYw6zO8cP_M_aem_mnOFlVPzDtgPcjAkd7UkEA,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGniDhudKeyEQHVIdy0cSYN1lRFWWlLU2ei-gNRHsoj2sF0XI4Vqem3uVOiC3M_aem_Mzsolck55PYPNHeFFk2XvQ,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGniSjSdDc-3sFa1XojPbXwt-yXnn3GYjbjNm40JfEJta3bagZYK9LMwMeLGmo_aem_UxC3UxzH8R3EIdxwJYzPbg,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGniftH9ZpeqLvF8JIoGTCjhG00ndk0BR0rVBjqIkxw3VMFoqYvN3NnZeuzr0g_aem_6H1iql-lif-vlBZnpSAIxg,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnlkv8XkYXdZGeJ5Cpqmkyy5JObOWclUkzsY67O6iZBisIw9E69oLszs_5q_g_aem_20urfpLfQiT-T7cj-N9riw,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnmiWt8mke-uRYVgfXe8XJ2b0imWKTQ5EK9l_PQklPC2MJ_4dcQO-rcaEsL8M_aem_APxqG-Sd9YejHBOo8KSJ6Q,1,0,0,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnqXX05nNoooLxl870CkTfuIKYUlceTbCYA6iJINP1nAu-1UcAXMdMRI1Yefc_aem_frgWDtgA4cDWJXGCNFP4DA,1,0,0,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnrJdSzZLrva-UTRN3X_T1LgF8bzVuLICvt0mTk61eRq5zuVPzQKR0IMT-UhQ_aem_y_fnpAvndtpDCnv47C6qng,1,0,0,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnsExHr6gZ4D4lP_XTAY83KfndgIw9BywQBKchMuiyQxQsrGaLzvwWRdTgUjE_aem_C4JKnF1RbDxLPdvJ2PLMdg,1,0,0,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnunFLqyktDfAELsFyglyKDlssqH9TZXupbbb0zOUP2ggQ-e8HjtEObz3sKv0_aem_PzFyjU2x4Tfmp5ujAZNLwg,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnvIpe5OLd5wjnAk_IDCVap8LkjNb5A2zZbIUwB2xgCx0L9DFthVADmHkEdXk_aem_XccJWW046nLVxOvglPvVXg,1,1,1,0,1,0,0,0,1,0
