rank,blog_code,segment,impressions,clicks,ctr
437,4792,low,82,0,0.000000
438,4794,low,237,0,0.000000
439,4797,low,53,0,0.000000
440,4802,passing,324,0,0.000000
441,4813,killer,72,0,0.000000
442,4835,low,159,0,0.000000
443,4840,passing,399,0,0.000000
444,4844,passing,185,0,0.000000
445,4852,low,107,0,0.000000
446,4854,low,107,0,0.000000
447,4855,passing,234,0,0.000000
448,4868,passing,152,0,0.000000
449,4874,비여행,157,0,0.000000
450,4877,passing,125,0,0.000000
451,4898,passing,529,0,0.000000
452,4899,killer,233,0,0.000000
453,4909,passing,192,0,0.000000
454,4915,passing,259,0,0.000000
455,4919,low,138,0,0.000000
456,4927,passing,124,0,0.000000
457,4951,low,364,0,0.000000
458,4958,비여행,212,0,0.000000
459,4959,killer,68,0,0.000000
460,4961,passing,1332,0,0.000000
461,4964,passing,461,0,0.000000
462,4971,hidden,118,0,0.000000
463,4977,low,87,0,0.000000
464,4980,low,76,0,0.000000
465,4983,low,89,0,0.000000
466,4988,hidden,128,0,0.000000
467,4989,passing,156,0,0.000000
468,4992,low,62,0,0.000000
469,5009,passing,185,0,0.000000
470,5011,killer,165,0,0.000000
471,5017,hidden,102,0,0.000000
472,5031,low,76,0,0.000000
473,5035,low,661,0,0.000000
474,5037,비여행,102,0,0.000000
475,5044,passing,1139,0,0.000000
476,5045,low,76,0,0.000000
477,5048,비여행,89,0,0.000000
478,5057,low,138,0,0.000000
479,5060,passing,83,0,0.000000
480,5061,passing,87,0,0.000000
481,5062,passing,532,0,0.000000
482,5067,passing,650,0,0.000000
483,5068,passing,238,0,0.000000
484,5073,passing,181,0,0.000000
485,5076,passing,68,0,0.000000
486,5077,low,51,0,0.000000
487,5084,passing,916,0,0.000000
488,5085,low,242,0,0.000000
489,5090,low,229,0,0.000000
490,5097,비여행,774,0,0.000000
491,5099,killer,188,0,0.000000
492,5100,passing,1138,0,0.000000
493,5113,passing,55,0,0.000000
494,5115,low,59,0,0.000000
495,5116,low,102,0,0.000000
496,5122,killer,125,0,0.000000
497,5128,passing,301,0,0.000000
498,5130,passing,286,0,0.000000
499,5139,비여행,122,0,0.000000
500,5143,passing,154,0,0.000000
501,5145,low,85,0,0.000000
502,5148,killer,104,0,0.000000
503,5154,passing,110,0,0.000000
504,5156,비여행,56,0,0.000000
505,5161,passing,86,0,0.000000
506,5163,low,53,0,0.000000
507,5176,비여행,268,0,0.000000
508,5178,passing,76,0,0.000000
509,5179,low,103,0,0.000000
510,5187,killer,86,0,0.000000
511,5201,passing,192,0,0.000000
512,5204,passing,459,0,0.000000
513,5206,passing,107,0,0.000000
514,5213,비여행,898,0,0.000000
