group,code,imp,clk,ctr,spots,view_count,like_count,title
ZERO,4251,281,0,0.000000,4,15678,90,부산  대구  전주 한복/의상 대여 총정리
ZERO,4256,109,0,0.000000,0,28856,230,성수&건대 총정리 가이드
ZERO,4264,246,0,0.000000,0,13880,124,2023仁寺洞咖啡廳懶人包
ZERO,4265,174,0,0.000000,1,80428,898,한복소녀 | 경복궁 한복
ZERO,4267,146,0,0.000000,1,15387,44,광명동굴
ZERO,4269,152,0,0.000000,0,12161,57,文來洞美食攻略
ZERO,4278,183,0,0.000000,0,13456,17,거제도여행공략
ZERO,4295,347,0,0.000000,0,60226,190,한국 식당에서 어색하지 않게 주문하고 결제하는 법!
ZERO,4308,136,0,0.000000,0,38343,236,2023弘大延南洞咖啡廳懶人包
ZERO,4310,187,0,0.000000,0,22888,49,[2021/인천관광공사] 월미도 & 인천 차이나타운
ZERO,4328,129,0,0.000000,0,17398,265,釜山南浦洞美食 Top 10
ZERO,4346,147,0,0.000000,0,42963,156,弘大合井美食推薦
ZERO,4348,100,0,0.000000,0,13484,42,2025韓國「全州」旅遊懶人包
ZERO,4351,1422,0,0.000000,0,50062,374,부산 필매 2018 부산 마트 총정리
ZERO,4352,159,0,0.000000,0,35371,180,新村美食推薦(2)
ZERO,4383,143,0,0.000000,0,7322,27,昌原鎭海 맛집 추천 TOP7
ZERO,4391,217,0,0.000000,0,30098,116,弘大酒吧  弘大bar TOP10 추천！
ZERO,4396,422,0,0.000000,0,7457,245,성수 카페 추천
ZERO,4402,133,0,0.000000,1,25223,80,[2021/강원도관광재단] 차가 없어도 할 수 있는 강원도 뚜벅이 여행(강릉)
ZERO,4419,167,0,0.000000,0,31260,69,용산역 탐방기 韓國龍山
ZERO,4432,122,0,0.000000,0,6384,26,龍山「O'sulloc 1979」探訪
ZERO,4437,583,0,0.000000,4,30221,171,廣藏市場棉被材質/殺價/推薦懶人包
ZERO,4444,847,0,0.000000,1,24485,89,한국 고속버스 예매 서비스
ZERO,4445,129,0,0.000000,0,17939,194,2023北村三清洞咖啡廳懶人包
ZERO,4460,199,0,0.000000,0,42797,207,明洞Young Plaza探訪
ZERO,4463,160,0,0.000000,0,14672,109,首爾麻浦區美食推薦
ZERO,4481,412,0,0.000000,2,27135,323,서울역-인천공항 직통열차 AREX 할인판매 
ZERO,4501,114,0,0.000000,0,15898,6,2022韓國蓋洛普民調(歌手/歌曲/演員)
ZERO,4503,220,0,0.000000,0,22189,251,이대 맛집 공릉닭한마리
ZERO,4508,178,0,0.000000,0,24873,8,2026韓國最低薪資
ZERO,4510,186,0,0.000000,1,38524,137,부산證件照｜우리동네사진관 서면점
ZERO,4514,313,0,0.000000,0,28635,219,24시간 연중무휴 동묘조마루감자탕 신설점
ZERO,4527,274,0,0.000000,0,37686,131,이태원 맛집 총정리
ZERO,4533,363,0,0.000000,1,25640,108,제주도 여행 일정 총정리
ZERO,4546,509,0,0.000000,0,62647,3,韓國護照將換色
ZERO,4550,132,0,0.000000,0,56788,696,명동 쇼핑 총정리
ZERO,4552,167,0,0.000000,0,27659,129,제주도에서 꼭 먹어야할 미식 TOP10
ZERO,4558,2734,0,0.000000,0,89472,149,다이소 추천 제품 TOP 10
ZERO,4560,138,0,0.000000,0,26434,319,2023新沙洞/狎鷗亭購物懶人包 
ZERO,4562,112,0,0.000000,0,16123,11,한국 남녀는 어떻게 만날까!?(완성)
ZERO,4566,100,0,0.000000,0,29275,129,홀리카홀리카 TOP10 추천
ZERO,4569,256,0,0.000000,0,49923,354,首爾行程懶人包
ZERO,4570,1598,0,0.000000,1,120313,1589,홍대 쇼핑 가이드
ZERO,4576,268,0,0.000000,8,23899,321,[클룩] N서울타워(남산타워) 전망대 입장권
ZERO,4577,154,0,0.000000,0,42063,129,2019 한국 여행 가볼만한 곳! 한국관광100선(韓國觀光100)
ZERO,4589,811,0,0.000000,0,31276,214,2023江南購物懶人包
ZERO,4594,138,0,0.000000,0,46221,383,新村地圖懶人包
ZERO,4603,337,0,0.000000,0,31713,73,한국 드럭스토어 총정리
ZERO,4616,675,0,0.000000,1,28247,245,新沙洞林蔭大道신사 가로수길 탐방
ZERO,4635,129,0,0.000000,1,41373,217,9折｜건딸기｜남대문시장 장안상사
ZERO,4658,657,0,0.000000,1,46846,322,광장시장 156호 아씨방 이불
ZERO,4659,179,0,0.000000,1,22369,273,명동맛집｜THE SIC-DDANG(더식당)
ZERO,4683,281,0,0.000000,3,9259,65,[플레이스엠] 용인 에버랜드 탐방기 (자유이용권 판매)
ZERO,4700,291,0,0.000000,0,32133,137,2026韓國櫻花預測/慶典時間整理
ZERO,4702,101,0,0.000000,0,24523,241,이대 캠퍼스 & ecc 탐방기
ZERO,4710,377,0,0.000000,1,57884,578,남대문시장 탐방기 2022
ZERO,4713,111,0,0.000000,0,124252,7,韓國史上重大意外/災難盤點
ZERO,4716,167,0,0.000000,1,17237,169,홍대 반지 만들기 체험｜홍대 반지 카페
ZERO,4753,566,0,0.000000,0,5136,73,首爾「奉恩寺」探訪/手鍊購買攻略
ZERO,4758,988,0,0.000000,0,42833,218,東大門超市「emart」探訪/退稅攻略
ZERO,4766,121,0,0.000000,0,10403,28,便利商店熱狗推薦
ZERO,4768,1233,0,0.000000,0,95697,670,首爾「弘大」交通懶人包
ZERO,4770,1365,0,0.000000,0,59996,663,홍대 아침식사하기 좋은 곳
ZERO,4772,319,0,0.000000,1,15395,395,景福宮「土俗村蔘雞湯」探訪(可訂位)
ZERO,4786,124,0,0.000000,0,16858,59,首爾「藥令市場」探訪
ZERO,4794,237,0,0.000000,2,5640,64,「昌德宮」夜間開放(月光紀行)時間/資訊
ZERO,4802,324,0,0.000000,0,59466,192,부산 서면 지하상가 탐방기
ZERO,4835,159,0,0.000000,0,6950,14,韓國速食店招牌菜單
ZERO,4840,399,0,0.000000,1,49693,376,마장동 축산물시장 | 마장골
ZERO,4844,185,0,0.000000,1,46907,339,홍대證件照｜우리동네사진관 홍대점
ZERO,4852,107,0,0.000000,0,10280,91,「鷺梁津杯飯街」探訪
ZERO,4854,107,0,0.000000,0,11132,92,首爾「慶熙大學」探訪
ZERO,4855,234,0,0.000000,0,25209,309,핫한 신사동 가로수길 카페 추천
ZERO,4868,152,0,0.000000,1,24181,219,홍대맛집｜옹다래 찜닭
