"spot_code","korean_name","publish_status","business_status","reservation_status","current_city","current_dl","legal_code","correct_city","correct_dl","correct_sigungu_code","poly_match_cnt","coord_status"
"14964","춘천 애견 동반 일일투어 (서울출발)","공개","영업중","예약가능","춘천시","","","강원특별자치도","춘천시","51110","1","매칭"
"15092","강원도 사계절 시즌 한옥체험 1박2일 투어 (서울출발)","공개","영업중","예약가능","강릉시","","","강원특별자치도","강릉시","51150","1","매칭"
"15546","알파카월드 + 레일바이크 + 남이섬 + 별빛축제 일일투어","비공개","영업중","예약가능","홍천군","","","강원특별자치도","홍천군","51720","1","매칭"
"14945","BLACKPINK 월드투어 콘서트 셔틀버스 (서울 ↔ 고양종합운동장 주경기장)","비공개","영업종료","예약가능","고양시","","","경기도","고양시 일산서구","41287","1","매칭"
"15047","에버랜드 X 롯데월드 더블 테마파크 2일 투어 (서울출발) _ 삭제예정","공개","영업종료","예약가능","서울시","","","경기도","용인시 처인구","41461","1","매칭"
"15067","핑크뮬리 축제 : 나리공원 + 남이섬 + 강촌레일바이크 일일투어 (서울출발)","공개","영업종료","예약가능","가평군","","","경기도","가평군","41820","1","매칭"
"15489","한탄강 UNESCO 세계지질공원 + 포천 허브아일랜드 + 포천아트벨리 일일투어 (서울출발)_backup","비공개","영업종료","예약가능","포천시","","","경기도","포천시","41650","1","매칭"
"15622","(중복 생성 사용X) 파주 프리미엄 아울렛 셔틀버스 | 서울 출발","비공개","영업중","예약가능","파주시","","","경기도","파주시","41480","1","매칭"
"15004","밀양 체험 일일투어 (부산출발) | 표충사 + 아리랑시장 + 영남루 + 사과막걸리 체험 ","공개","영업중","예약가능","밀양시","","","경상남도","밀양시","48270","1","매칭"
"14990","사이시옷 | 경주 야외 방탈출","공개","영업중","예약가능","경주시","","","경상북도","경주시","47130","1","매칭"
"15040","경주 일일투어 (대구출발 / 부산하차 포함) | 불국사 & 교촌마을 & 대릉원 & 동궁과 월지","공개","영업중","예약가능","경주시","","","경상북도","경주시","47130","1","매칭"
"15705","[투어패스] 충남투어패스 24/36/48시간권","비공개","영업중","예약가능","세종,대전시","","","대전광역시","서구","30170","1","매칭"
"14949","(삭제) 선셋 해운대 스카이캡슐 & 부산 야경 일일투어 (부산출발)","공개","영업중","예약불가","부산시","","","부산광역시","해운대구","26350","1","매칭"
"14951","[이벤트 당첨자 전용] 2025 부산원아시아페스티벌 BOF 콘서트","공개","영업종료","예약가능","부산시","","","부산광역시","해운대구","26350","1","매칭"
"15103","샌드박스 | 게임처럼 떠나는 부산 (부산출발)","공개","영업중","예약가능","부산시","","","부산광역시","남구","26290","1","매칭"
"15309","남포대동약국 | 부산(4차입점)","공개","영업중","예약가능","부산시","부산진구","","부산광역시","부산진구","26230","1","매칭"
"15491","더올림의원 서면 | 쁘띠 단독 헤택","공개","영업중","예약가능","부산시","서면","","부산광역시","부산진구","26230","1","매칭"
"15554","하버요가 부산 | 프라이빗 웰니스 체험","공개","영업중","예약가능","부산시","수영구,광안리","","부산광역시","기장군","26710","1","매칭"
"15567","스위브 | 부산 전포 맞춤 헤어살롱","공개","영업중","예약가능","부산시","","","부산광역시","부산진구","26230","1","매칭"
"15574","부산 리얼 감성 투어: 대나무 숲, 해안 절경 & 로컬 라이프 일일 투어","공개","영업중","예약가능","부산시","","","부산광역시","동구","26170","1","매칭"
"15634","힐링템플레킹 in 내원정사: 소리 숲 한끼 | 부산","공개","영업중","예약가능","양산시","","","부산광역시","연제구","26470","1","매칭"
"15655","레버링 해운대점 | 부산 반지공방","공개","영업중","예약가능","부산시","해운대구","","부산광역시","수영구","26500","1","매칭"
"15695","BUSAN-JIN MEDICOVERY: RE-GLOW | 부산 출발","공개","영업중","예약가능","부산시","","","부산광역시","부산진구","26230","1","매칭"
