code,name_ko,name_en,parent_code,parent_city_ko,priority,spot_count,blog_count,lang_course_count,region_count,pub_region_count,total_links,class_1st,sgg_code,sgg_name,action,action_note,review
729,광산구,Gwangsan,23,광주시,113,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
723,금정구,Geumjeong,3,부산시,107,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
709,금천구,Geumcheon,5,서울시,93,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
728,남동구,Namdong,7,인천시,112,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
713,노원구,Nowon,5,서울시,97,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
731,대덕구,Daedeok,25,대전시,115,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
707,도봉구,Dobong,5,서울시,91,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
727,미추홀구,Michuhol,7,인천시,111,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
722,사하구,Saha,3,부산시,106,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
726,옹진군,Ongjin,7,인천시,110,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
732,울주군,Ulju,40,울산시,116,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
730,유성구,Yuseong,25,대전시,114,0,0,0,0,0,0,행정구,,,유지,빈구-legal앵커,
112,서면,Seomyeon,,,47,29,9,0,0,0,38,관광지,26230,부산진구,제거,중복병합-비대표,
109,서면,Seomyeon,,,44,1,2,0,0,0,3,관광지,26230,부산진구,제거,중복병합-비대표,
481,공릉,Gongneung,,,147,0,1,0,0,0,1,관광지,,,제거,blog·어학당 소속구 이관 후 삭제,
148,구파발,Gupabal,,,82,0,1,0,0,0,1,관광지,,,제거,blog·어학당 소속구 이관 후 삭제,
